Viability,Smiles
104.51,CN(C)C(N(CCC1)CC1C(NCCCc(cc1)ccc1Cl)=O)=O
113.99,COc(cc1)ccc1S(N[C@H](C1)[C@H]2[C@@H]1OCC2)(=O)=O
86.4,COc1cccc(-n2c(SCCC(C3)C3(F)F)nnc2CN)c1
104.3,CNC(c1noc(CC2)c1CN2C(c1ccc(-c(cccc2)c2Cl)o1)=O)=O
94.27,CCc(nc1)ncc1C(NCc1c(C)c(cccc2)c2o1)=O
100.27,CCCc1nn(C)c(C(NCC2Cc(cccc3)c3OCC2)=O)c1
109.71,CCN(CC)c(cc1)ccc1C(N(C1)C[C@]2(CO)[C@H]1c(cccc1)c1OC2)=O
90.73,O=C(c1ncn[nH]1)N1CCC(C2)(CN(CCCc3ccccc3)C2=O)CC1
76.13,Cc(n(C)cc1)c1C(N(CC1)CCC1(CC1)CN(C2CN(C)CC2)C1=O)=O
95.19,O[C@@H](CN(Cc(cc1)ccc1-n1cncc1)CC1)[C@H]1NC(c1nccnc1)=O
80.79,CCc1cc(C(N2C[C@@H](CO)C[C@H](CN3CCOCC3)C2)=O)cs1
94.18,Cc(cncc1)c1N(CCC1)CCN1C(C1CN(Cc2ccco2)CCC1)=O
85.87,C(CC1CCCCC1)Cc1nc(C2COCC2)no1
96.81,Cc1ccc([C@@H](CN(C2)C(c(cccc3)c3-n3nccc3)=O)[C@H]2N(C)C)cc1
105.9,CN(C)CCCn1c(C(CC2)CCN2C([C@@H](C2)[C@H]2c2ccccc2)=O)ncc1
140.47,Cc(cncc1)c1-c(cc1)ccc1C(NCc1nncn1CCOC)=O
98.07,Cc1n[nH]c(SCC(N2CC(CNC(c(cc3)ccc3F)=O)CCC2)=O)n1
82.06,Cc1c(C(NCCc2nccs2)=O)oc2c1ccc(OC)c2
65.12,CN(Cc1noc2c1CCCC2)C(Nc(cccc1)c1OCc1ccco1)=O
97.59,CN(Cc1c[nH]nc1-c1ccccc1)C(c1cc(C2CNCCC2)ccc1)=O
65.15,Cc1cccc(CN(CCN2)C(CC(N(CC3)CCC33OCCC3)=O)C2=O)c1
85.96,CCN([C@@H](COC1)[C@H]1O)C(Nc(cc(cc1)F)c1OC)=O
96.41,CCc1nc2c(C)c(C)nn2c(NCCc2nc(Cc3ccccc3)no2)c1
86.17,Cn1nccc1CCC(N(CC1)CCS1(=O)=O)=O
109.44,Cc1nc(n(C)nc2)c2c(NCCN(CCCO2)C2=O)n1
86.36,CC(c1nn(CCCN(C2)C(c3ccc(-c(cccc4)c4Cl)o3)=O)c2c1)O
93.24,Cc(cc1OCCOc1c1)c1NC(NC1CCOCC1)=O
59.51,Cc(cc(CN(C)CCCn1nccc1)cc1)c1F
103.44,COCCn1c(C(CCC2)CN2C(C(Oc2c3cccc2)=CC3=O)=O)ncc1
96.54,Cc1c(CC(NCc2ccno2)=O)c(C(CCC2)=O)c2n1CCc1ccccc1
75.67,CCN(Cc1cn(C(C)C)nc1)C(c(c(OC)ccc1)c1F)=O
